Date,Time,Temp (°C)  #9761924,Coupler Detached  #9761924,Coupler Attached  #9761924,Host Connected  #9761924,End Of File  #9761924
29/05/17,09:37:44,12.509,,,,
29/05/17,10:37:44,12.703,,,,
29/05/17,11:37:44,13.594,,,,
29/05/17,12:37:44,14.625,,,,
29/05/17,13:37:44,15.700,,,,
29/05/17,14:37:44,15.270,,,,
29/05/17,15:37:44,16.034,,,,
29/05/17,16:37:44,17.034,,,,
29/05/17,17:37:44,17.344,,,,
29/05/17,18:37:44,15.772,,,,
29/05/17,19:37:44,15.247,,,,
29/05/17,20:37:44,13.281,,,,
29/05/17,21:37:44,12.437,,,,
29/05/17,22:37:44,11.467,,,,
29/05/17,23:37:44,11.516,,,,
30/05/17,00:37:44,11.346,,,,
30/05/17,01:37:44,11.127,,,,
30/05/17,02:37:44,10.369,,,,
30/05/17,03:37:44,9.805,,,,
30/05/17,04:37:44,9.435,,,,
30/05/17,05:37:44,9.139,,,,
30/05/17,06:37:44,9.064,,,,
30/05/17,07:37:44,9.213,,,,
30/05/17,08:37:44,9.829,,,,
30/05/17,09:37:44,11.078,,,,
30/05/17,10:37:44,11.832,,,,
30/05/17,11:37:44,12.751,,,,
30/05/17,12:37:44,13.522,,,,
30/05/17,13:37:44,14.457,,,,
30/05/17,14:37:44,15.939,,,,
30/05/17,15:37:44,18.224,,,,
30/05/17,16:37:44,15.748,,,,
30/05/17,17:37:44,14.816,,,,
30/05/17,18:37:44,14.074,,,,
30/05/17,19:37:44,17.344,,,,
30/05/17,20:37:44,13.546,,,,
30/05/17,21:37:44,12.413,,,,
30/05/17,22:37:44,11.175,,,,
