"Título de trazado: P4"
"N.º","Fecha","Tiempo, GMT+02:00","Temp, °C (LGR S/N: 9761966, SEN S/N: 9761966)","Acoplador separado (LGR S/N: 9761966)","Batería mala (LGR S/N: 9761966)","Batería buena (LGR S/N: 9761966)","Acoplador adjunto (LGR S/N: 9761966)","Host conectado (LGR S/N: 9761966)","Final de archivo (LGR S/N: 9761966)"
537,24/05/17,19:54:30,16.296,,,,,,
538,24/05/17,20:54:30,13.834,,,,,,
539,24/05/17,21:54:30,10.320,,,,,,
540,24/05/17,22:54:30,9.238,,,,,,
541,24/05/17,23:54:30,8.643,,,,,,
542,25/05/17,00:54:30,8.668,,,,,,
543,25/05/17,01:54:30,8.568,,,,,,
544,25/05/17,02:54:30,8.568,,,,,,
545,25/05/17,03:54:30,8.319,,,,,,
546,25/05/17,04:54:30,7.970,,,,,,
547,25/05/17,05:54:30,8.220,,,,,,
548,25/05/17,06:54:30,8.120,,,,,,
549,25/05/17,07:54:30,8.742,,,,,,
550,25/05/17,08:54:30,9.731,,,,,,
551,25/05/17,09:54:30,10.467,,,,,,
